Cooper:	COOPER:
A formidable business opportunist and an investor in the stock market,	כאופורטוניסט בעסקים וכמשקיע בשוק המניות, ג'ו האב הגדיל את הונו על ידי יישום כישוריו
Joe Sr. had grown his wealth by applying his skills to various business ventures, including the film industry.	בכמה מיזמים עסקיים, כולל תעשיית הקולנוע. הוא בילה את רוב זמנו בניו יורק.
- He was spending most of his time now in New York. He was a film producer.	הוא היה מפיק סרטים, מנהל הפקה,
He was a film executive.	והצד העסקי של תעשיית הקולנוע היה מבוסס בניו יורק.
And the business side of the movie business was in New York. The Bronxville house, where Jack really grows up, is... you know, it was a mansion with a huge lawn, big driveway, lots of land for the kids to play.	בית ברונקסוויל, שם ג'ק גדל, היה אחוזה בעלת מדשאה ענקית, חניה גדולה, הרבה שטח משחק לילדים.
- The family began spending their summer and early autumn months at the beachside village of Hyannis Port, part of the Cape Cod area in Massachusetts.	המשפחה החלה לבלות את הקיץ ואת חודשי הסתיו המוקדמים בכפר הסמוך לחוף, היאנס פורט, חלק מאזור קייפ קוד במסצ'וסטס.
After renting a summer residence at 50 Marchant Avenue for several years,	אחרי ששכרו בית קיץ בשדרות מרשנט 50 במשך כמה שנים ג'ו האב קנה את הבית.
Joe Sr. purchased the home. - The family spends more time together in Hyannis Port than anywhere else.	המשפחה בילתה יותר זמן יחד בהיאנס פורט מבכל מקום אחר.
What binds them together is not their home in Bronxville but Hyannis Port.	מה שחיבר אותם לא היה הבית בברונקסוויל, אלא היאנס פורט.
- Jack was surrounded by eight siblings... Joe Jr., Rosemary, Kathleen, Eunice, Patricia,	ג'ק הוקף בשמונה אחים, ג'ו ג'וניור, רוזמרי, קת'לין, יוניס, פטרישה, רוברט, ג'ין וטד.
Robert, Jean, and Ted. Though they were raised in considerable wealth,	אף שגדלו בעושר ג'ו ורוז לימדו את ילדיהם על אודות ערך הכסף, על חשיבותו של מוסר עבודה חזק
Joe and Rose taught their children about the value of money, the importance of a strong work ethic, and the need to stay informed about world affairs, which often led to heated political discussions at the dinner table.	ועל הצורך בהתעדכנות בענייני העולם שלעיתים קרובות הובילו לדיונים פוליטיים סוערים ליד שולחן ארוחת הערב.
- Joe and Rose led conversations about current events and global events for all nine of the siblings over dinner.	ג'ו ורוז הובילו שיחות בדבר אירועים נוכחיים ועולמיים עם כל תשעת האחים בארוחת הערב, וג'ו היה מומחה בחידונים.
And Joe was like a quiz master. The parents seeded the children, particularly the boys, with this sense of history, current events, global events.	ההורים השרישו בילדים, בעיקר בבנים, עניין בהיסטוריה, באקטואליה, באירועים עולמיים,
And from that, the boys did pursue it on their own.	ולאחר מכן הבנים עקבו אחריהם בעצמם.
- Jack lived his early life in the shadow of his older brother, Joe Jr., who was the promising Kennedy child, being primed for a political future.	ג'ק חי את ראשית חייו בצל אחיו הגדול, ג'ו ג'וניור, שהיה בן קנדי המבטיח בעל צפי לעתיד פוליטי. ג'ו ג'וניור הצליח בבית הספר, אבל ציוניו של ג'ק היו די עלובים.
Joe Jr. was successful in school, but Jack's grades were comparatively poor.	ג'ק היה חכמולוג בילדותו.
- Jack was a smart aleck as a kid.	היו לו חברים.
He had friends. Every smart aleck, every jokester has friends. But he didn't try hard the way Joe did.	לכל חכמולוג, לכל בדרן היו חברים, אבל הוא לא התאמץ כמו ג'ו.
Joe was the model kid. Joe Kennedy put his faith in the future of the Kennedy dynasty, in his oldest son, Joe Jr.	ג'ו קנדי תלה את תקוות עתיד שושלת קנדי בבנו הבכור, ג'ו ג'וניור.
- Joe Sr. Seriously believed he would become the first Irish Catholic president of the United States.	ג'ו האב האמין שהוא יהפוך לנשיא האירי הקתולי הראשון של ארצות הברית. ג'ק היה בשוליים.
- Coming up on future episodes of "Kennedy"...	בפרקים הבאים של "קנדי"... ג'ון פיצג'רלד קנדי היה דמות ייחודית
- John Fitzgerald Kennedy is a unique character in U.S. and world history.	בתולדות ארצות הברית והעולם. הוא סיכן את חייו.
- He had risked his life. He'd climb one rung of the ladder, and then he'd start looking to the next one.	הוא טיפס שלב אחד בסולם והחל לחפש את השלב הבא, אבל הוא היה מוותר על כל הצלחתו הפוליטית
But he would have given up all of his political success to be pain-free.	כדי לא לסבול מכאבים. היה סיכוי שהוא ימות.
- There was a chance that he would die. Was he going to pity himself, or was he going to overcome it?	האם הוא ירחם על עצמו או יתגבר על זה?
- And we stand today on the edge of a new frontier.	ואנחנו ניצבים היום על סף חזית חדשה. כשהוא נכנס לחדר הסגלגל היה לו הרבה מה ללמוד.
- When he walked into the Oval Office, he had a lot to learn. - You have Kennedy trying to manage the Cold War, but also adhere to the real dilemma that African Americans are facing.	קנדי ניסה לנהל את המלחמה הקרה אך גם להיצמד לדילמה האמיתית שהאפריקנים אמריקנים התמודדו עמה.
- He guided the country through the most dangerous period of its existence.	הוא הנהיג את המדינה בתקופה המסוכנת ביותר לקיומה. הרעיון שניכנס למלחמה גרעינית היה מוחשי מאוד.
- The idea we could get into a nuclear war was very real.	שם קנדי היה המנהיג.
That's where Kennedy is the leader. - And so, my fellow Americans, ask not what your country can do for you, ask what you can do for your country.	חבריי האמריקנים, אל תשאלו מה המדינה יכולה לעשות בשבילכם, תשאלו מה אתם יכולים לעשות בשביל המדינה שלכם.
- Jack's playful personality and rebellious energy was at odds with his solemn and polished older brother, Joe Jr., molded by Joe Sr. In his own image.	האישיות השובבה והאנרגיה המרדנית של ג'ק היו ניגוד לאחיו הבכור והמלוטש, ג'ו ג'וניור, שעוצב על ידי ג'ו האב בדמותו.
Though Jack looked up to his older brother, the two were competitive, engaging in heated fights on the living room floor.	אף שג'ק העריץ את אחיו הגדול השניים היו תחרותיים וניהלו ריבים סוערים בסלון.
- Jack adored his older brother,	ג'ק העריץ את אחיו הגדול, ג'ו, ועקב אחריו לכל מקום.
Joe, followed him around.	השניים שיחקו יחד כל הזמן, אף שג'ו היה בריון.
The two of them played together all the time, though Joe was a bully. Jack brought a lot of the physical abuse on himself.	ג'ק הביא על עצמו הרבה מההתעללות הגופנית,
He couldn't stop teasing.	הוא לא הצליח להפסיק להציק. הוא התחיל ריבים שידע שיפסיד בהם.
He started fights that he knew he was gonna lose.	בשל משקל נמוך ושבריריות ג'ק כמעט תמיד הובס בריבי האחים,
- Underweight and frail, Jack was almost always pinned and defeated in these brotherly brawls, but he always got back up and tried again.	אבל הוא תמיד קם וניסה שוב.
In one of these competitive episodes,	באחת התחרויות ג'ו ג'וניור הציע שהוא וג'ק יתחרו על אופניים סביב ברוקליין.
Joe Jr. suggested that he and Jack race their bicycles around Brookline. The frenzied race landed Jack in the hospital with 28 stitches.	המרוץ הביא את ג'ק לבית החולים ולמצב של 28 תפרים.
- John Kennedy becomes a teenager, more or less, at the onset of the Great Depression in the early 1930s.	ג'ון קנדי היה למתבגר, פחות או יותר עם תחילת המיתון הגדול 'בתחילת שנות ה -30. זה היה אסון בלתי יתואר.
It was just an unimaginable calamity. That kind of suffering and trial by unemployment didn't touch the Kennedy family at all.	הסבל הזה מהאבטלה לא נגע כלל במשפחת קנדי.
- They were completely shielded from the Great Depression.	הם היו מוגנים לגמרי מהמיתון הגדול. הם ידעו שזה קורה,
They knew that it was happening.	אבל אולי הגאונות האמיתית של ג'ו קנדי הייתה לחשוף את ילדיו לעולם, כדי שהם יבינו
But maybe Joe Kennedy's real genius was exposing his sons to the world so that they would understand that the world was larger than the closeted life they all lived.	שהעולם גדול יותר מהחיים המוגנים שלהם.
- In September 1930, Jack began his eighth-grade year at the Canterbury School in New Milford, Connecticut.	'בספטמבר 1930 ג'ק החל כיתה ח בבית הספר "קנטרברי" בניו מילפורד, קונטיקט.
Jack loved sports, playing both baseball and football in spite of his abnormally low weight and constant health issues.	ג'ק אהב ספורט ושיחק בייסבול ופוטבול למרות משקלו הנמוך ובעיותיו הבריאותיות.
Jack often wrote to his parents about everyday life at school, including the difficulty of his studies, his frustration with the school's strict religious practices, and the freezing weather.	לעיתים קרובות ג'ק כתב להוריו על חיי היום יום בבית הספר, לרבות הקושי בלימודיו, התסכול שלו מהנהלים הדתיים הנוקשים של בית הספר ומזג האוויר הקפוא.
In April 1931, when he was almost 14 years old,	באפריל 1931, כשהיה כמעט בן 14, ג'ק סבל מכאב בטן שהוביל לניתוח תוספתן,
Jack suffered abdominal pains that resulted in an appendectomy... the first of many surgeries in his life.	הראשון מניתוחים רבים בחייו.
After this operation, he withdrew from Canterbury and returned home to Hyannis Port.	אחרי הניתוח הוא נשר מ"קנטרברי" וחזר הביתה להיאנס פורט.
Having had the summer to recover, Jack transferred to the Choate School in September 1931, a private boarding school in Wallingford, Connecticut.	אחרי שהתאושש בקיץ, ג'ק עבר לבית הספר "צ'וט" בספטמבר 1931, פנימייה פרטית בוולינגפורד, קונטיקט.
Joe Jr. was already a student there and showed Jack the ropes.	ג'ו ג'וניור היה תלמיד שם ועזר לג'ק להתרגל למקום.
- Its hallmark, from George St. John, the headmaster, was to make sure that every boy got attention and got the kind of education that he needed.	סימן ההיכר שלו, לפי ג'ורג' סנט ג'ון, המנהל, היה לוודא שכל ילד קיבל את תשומת הלב ואת החינוך הדרושים.
As a new third-former, as they were known, the ninth-graders, he was nervous.	כ"חמשוש" טרי, כפי שתלמידי ט' כונו, הוא חשש.
Fortunately, he did have an older brother to sort of steer him and give him the ropes.	ג'ודי דונלד, ארכיונאית לשעבר ב"צ'וט" למזלו, היה לו אח גדול כדי להדריך אותו, אבל הוא היה לבד.
But he was pretty much on his own, but I think that was part of the family tradition, too... to make your own way.	גם זה היה חלק מהמסורת המשפחתית, לסלול דרך משלך. הוא הוכנס למעונות, זו הרשת הראשונה.
Put into a dormitory... so that's your first network. Then, you're in classes...	אחר כך, אתה בשיעורים, זו רשת נוספת.
that's another network.	ספורט, זו רשת נוספת.
Sports... that's another network. You sort of find your way with the activities that you're involved in.	אתה מוצא את דרכך דרך הפעילויות שאתה עוסק בהן.
- Jack did well in classes he enjoyed, like math and politics, but performed poorly in subjects that didn't interest him, such as Latin.	ג'ק הצליח בשיעורים שחיבב, כמו מתמטיקה ופוליטיקה, אבל כשל בשיעורים שלא עניינו אותו, כמו לטינית.
Where he truly excelled was American history, a subject he found fascinating.	ההצטיינות שלו הייתה בהיסטוריה אמריקנית, נושא שריתק אותו.
- Kennedy loved history.	קנדי אהב היסטוריה, הוא הכיר אותה היטב
He knew it very well, and I think it gave him this grasp of how things work.	ואני חושב שזה נתן לו מושג איך דברים פועלים.
His knowledge of history informed him that being a great orator was important.	הידע שלו בהיסטוריה הוכיח לו שהיה חשוב להיות נואם טוב, איך כוח פועל,
How does power work?	קונאן אובריאן, חבר ועד קרן קנדי איך מבחינה היסטורית בעלות הברית שלנו התנהלו.
- Despite his untroubled, relaxed persona,	למרות אישיותו הקלילה והרגועה האינטליגנציה החדה של ג'ק הייתה ברורה לסובביו,
Jack's sharp intelligence was noted by those around him, including the Choate headmaster	וביניהם מנהל "צ'וט", ג'ורג' סנט ג'ון.
George St. John. - I think he saw great promise in John Kennedy but was a little frustrated by his occasional nonconformist activity.	אני חושבת שהוא ראה הבטחה גדולה בג'ון קנדי, אבל היה קצת מתוסכל מכך שהוא לא הלך בתלם לעיתים.
That just angered him because he saw such great promise in him.	זה הרגיז אותו, כי הוא ראה בו הבטחה גדולה, הוא ידע שהוא ילד חכם.
He knew he was a smart boy, and he just wanted something better out of him.	הוא רצה להפיק משהו טוב יותר ממנו.
- While at Choate, Jack met someone who would become his lifelong friend, a classmate named Lem Billings.	ב"שוט", ג'ק פגש מישהו שיהפוך לחברו הוותיק, חבר לכיתה ששמו לם בילינגס.
- One of Jack Kennedy's greatest talents was making friends and keeping them... lifelong friends.	אחד הכישרונות הגדולים של ג'ק קנדי היה לרכוש חברים ולשמר אותם, חברים לכל החיים. לם בילינגס היה חבר כזה.
Lem Billings was one. - They were both working on the school yearbook.	שניהם עסקו בספר המחזור של בית הספר, דיוויד פיטס, סופר כך הם נפגשו.
That's, in fact, how they met. But sometimes they disagreed with each other. Sometimes they would fight against each other, but there's also a lot of affection as well.	לפעמים הם לא הסכימו זה עם זה, לפעמים רבו, אבל הייתה גם הרבה חיבה.
Early on, JFK is somewhat mystified by Lem's lack of interest in girls, which, even then, as a young teenager,	בשלב מוקדם, ג'יי -אף -קיי התפלא נוכח חוסר העניין של לם בבנות, שכן אפילו אז, כמתבגר צעיר, ג'יי
JFK was very active and interested in.	-קיי היה פעיל ועסוק מאוד בתחום זה.
- While Jack excelled socially at Choate, there was another part of him most did not see.	בזמן שג'ק הצטיין מבחינה חברתית ב"צ'וט", היה חלק אחר בו שהרוב לא ראו. היו המון ניגודים.
- You see all these contrasts.	איך הוא מוצג?
So what does he present as? Handsome, born to an extremely wealthy family, rich playboy. But what do we really know?	נאה, בן למשפחה עשירה מאוד, נער שעשועים עשיר, אבל מה אנחנו באמת יודעים?
What we really know is a lot of pain.	אנחנו יודעים על הרבה כאב.
- One thing after another that sent him to the infirmary or even more specialty care, when they couldn't figure out what was really going on.	שרשרת מקרים שלחה אותו למרפאה או לטיפול מומחה כשהם לא הבינו מה קורה.
- He's having fatigue, these diffuse aches and pains.	הוא סבל מעייפות, 'ד"ר טי גלן פייט, פרופ לנירוכירורגיה ואורתופדיה מכאבים שונים, הוא פיתח קוליטיס,
He developed colitis, so he could not gain weight.	כך שלא עלה במשקל.
- In February 1934, Jack's health deteriorated rapidly.	בפברואר 1934 בריאותו של ג'ק הידרדרה במהירות.
He was sent to Rochester, Minnesota for medical tests at the Mayo Clinic.	הוא נשלח לרוצ'סטר, מינסוטה, לבדיקות רפואיות במרפאת "מאיו".
Joe Sr. came to visit his ailing son.	ג'ו האב בא לבקר את בנו. רוז לא ביקרה כלל.
He was at death's door.	הוא היה על סף מוות.
In early 1934, undergoing medical tests at the Mayo Clinic, 16-year-old Jack was plagued by constant pain, surrounded by strangers, and dealing with one medical mystery after another.	בתחילת 1934, בזמן בדיקות רפואיות במרפאת "מאיו", ג'ק בן ה -16 סבל מכאב קבוע, הוא היה מוקף זרים והתמודד עם תעלומות רפואיות רבות בשרשרת.
To pass the time, he wrote rambling letters full of jokes, often sexual in nature.	כדי להעביר את הזמן הוא כתב מכתבים מלאי בדיחות, לעיתים קרובות מיניים באופיים.
In letters written to Lem Billings during his time at the hospital, Jack's buoyant personality showed no signs of waning.	במכתבים שנשלחו ללם בילינגס בזמן שהיה בבית החולים, האישיות השובבה של ג'ק לא הראתה סימני היעלמות.
- He's making jokes, and they're jokes about his imminent death, and he's saying, "Yeah, they were here today.	הוא התבדח, הם התבדחו על מותו הקרוב, והוא אמר: "כן, הם באו היום, הסתכלתי בגיליון כשהם יצאו,
"I looked at the chart when they left the room, and I think they're measuring me from my coffin."	"אני חושב שהם מודדים אותי בשביל ארון הקבורה."
Looking at some of the numbers for his blood levels and saying, "Yeah, you know, if I get any lower, I'm out."	מסתכלים במספרים בבדיקות הדם שלו ואומרים: "כן, אם זה יצנח, אבוד לי." הוא הקליל את העניין.
Kind of making light of the whole thing. That was, I think, invaluable to what he became, which was someone who understood pain.	זה היה חלק ממה שהוא הפך להיות, מישהו שהבין כאב מהו.
- It was just one of those things where he had a choice to make. Was he going to pity himself, or was he going to deal with this and overcome it?	זה היה אחד המקרים שבהם היה עליו להחליט, האם הוא ירחם על עצמו או יתמודד ויתגבר על זה?
- People who experience that kind of pain and sickness, they understand life is pain, you know?	אנשים שחוו כאב ומחלות כאלה מבינים שהחיים הם כאב. יש גם שמחה, אבל הרבה כאב.
There's joy, too, but there's also just a lot of pain.	ההומור שלו היה דרך אחת להתמודד עם זה.
His humor was one way of dealing with it. - After months in and out of different hospitals,	אחרי חודשים של כניסה ויציאה מבתי חולים שונים, ג'ק סוף סוף היה במצב יציב מספיק לחזור הביתה בקיץ 1934,
Jack was finally stable enough to return home in the summer of 1934 with orders from his doctors to follow a strict diet and reduce stress.	עם הוראה מרופאיו לדבוק בדיאטה נוקשה ולהפחית לחץ.
- Lem was so concerned about him and helped take care of him when he was ill.	לם דאג לו ועזר לטפל בו כשהיה חולה.
- Jack and Lem were especially tight-knit, following each other around at Choate and beyond.	ג'ק ולם היו קרובים במיוחד, הלכו זה אחרי זה ב"צ'וט" ומעבר.
So close, in fact, the teens decided to lose their virginity at the same Harlem brothel.	קרובים כל כך, עד שהנערים החליטו לאבד את בתוליהם באותו בית בושת בהארלם.
- They went to prostitutes, although it's not clear that Lem actually ever did anything with a prostitute.	הם הלכו לפרוצות, אף שלא ברור אם לם באמת עשה משהו עם פרוצה, איש לא יודע.
Nobody really knows.	אחרי זמן מה ג'יי
After a while, of course, JFK being as smart as he was, he realized that Lem didn't really have any interest in women.	-קיי, בחכמתו, הבין שללם אין עניין בנשים, הוא התעניין בג'ק.
He had an interest in Jack. - Lem felt more than friendship for his companion.	לם חש יותר מרגש חברי כלפי ידידו.
A Choate tradition was to use toilet paper for notes, because they could easily be flushed and destroyed.	מסורת של "צ'וט" הייתה להשתמש בנייר טואלט לפתקים, כי אפשר היה להוריד אותם באסלה ולהשמיד אותם.
- Boys who wanted to engage in sexual behavior would hint as such on toilet paper.	בנים שרצו לעסוק בפעילות מינית רמזו זאת על גבי נייר טואלט.
- Lem sent such a note to Jack, expressing his affection for the charismatic young man.	לם שלח פתק כזה לג'ק ובו הביע את חיבתו לצעיר הכובש.
Jack politely rebuffed Lem's romantic overture, but they would remain friends and confidants for the rest of Jack's life.	ג'ק דחה בנימוס את הצעתו הרומנטית של לם, אבל הם נותרו חברים ואנשי סוד לשארית חייו של ג'ק.
He had no interest in publicly exposing Lem's sexuality, something that would subject his friend to ridicule and harassment.	לא היה לו עניין לחשוף את מיניותו של לם, הדבר היה הופך את חברו למושא ללעג ולהטרדות.
His relationship with Lem was a testament to Jack's character in a time when homosexuality was far from accepted in everyday society.	הקשר שלו עם לם היה עדות לאופיו של ג'ק בתקופה שבה הומוסקסואליות הייתה רחוקה מלהיות מקובלת.
- Jack took great risks in keeping this friendship with Lem Billings, which shows the sense of loyalty that he had.	ג'ק לקח סיכונים גדולים בשימור החברות עם לם בילינגס, ובכך הוכיח את נאמנותו.
- After being called "troublemaking muckers" by Choate headmaster George St. John,	אחרי שהוגדרו כבעייתיים על ידי מנהל "צ'וט", ג'ורג' סנט ג'ון,
Jack, Lem, and two other friends established the Choate Muckers Club.	ג'ק, לם ושני חברים נוספים הקימו את מועדון "שובבי צ'וט".
Together, they began sneaking into town for milkshakes, going to dances, and arranging pranks around campus.	יחד הם החלו להתגנב לעיר לשתות מילקשייק, יצאו לרקוד וארגנו מתיחות ברחבי הקמפוס.
- Then they came up with this wild and crazy idea that they were gonna disrupt a major dance... it's called Festivities... by depositing a load of manure at the entrance to the dance.	הם העלו רעיון מטורף, שהם יתפרצו לנשף גדול, "פסטיביטיז", ויניחו ערמות צואה בכניסה לנשף.
You can imagine the boys up in their rooms, just hooting and hollering about this thing.	אתם יכולים לדמיין את הבנים בחדרים שלהם, צוחקים על העניין. זה לא יהיה נהדר?
Wouldn't it be a great thing to do? They never did it. They never did it.	הם מעולם לא עשו את זה, הם לא עשו את זה, אבל היה כיף לחשוב על כך.
But it was fun to think about. It was a testimony, again, to Jack's ability to make friends, even if in that particular case, it was because of involvement in potential hijinks.	זו שוב הייתה עדות ליכולתו של ג'ק לרכוש חברים, גם אם במקרה הזה, זה נבע ממעורבות במתיחות.
- At last, his time at Choate came to an end.	לבסוף, זמנו ב"צ'וט" הסתיים.
Jack was now 18 and filled with a new sense of independence.	ג'ק היה בן 18 ומלא תחושה חדשה של עצמאות.
- I think he was certainly ready to leave, once graduation came around.	אני חושבת שהוא היה מוכן לעזור כשסיים את לימודיו.
- Jack found his second home on the water when back in Hyannis Port during 1935 and '36.	ג'ק מצא את ביתו השני על המים 'כשחזר להיאנס פורט ב -1935 ו
Sailing from Edgartown to Martha's Vineyard, even winning the 1936 Atlantic Coast Championship, his love of the ocean was a Kennedy hallmark.	-36, הפליג מאדגרטאון למרת'ס ויניארד, אפילו ניצח באליפות החוף האטלנטי ב -1936. אהבתו לאוקיינוס הייתה סימן ההיכר של קנדי.
- I think you can't understand the Kennedys without understanding Hyannis Port.	אי אפשר להבין את משפחת קנדי בלי להבין את היאנס פורט.
It's this big, old, rambling house. There's nine children spilling out of the rooms. They're all sailing.	זה בית גדול וישן, יש תשעה ילדים בחדרים, כולם מפליגים, מתחרים זה בזה.
They're all in competition with each other. There's a tennis court. If they're not playing tennis, they're playing touch football.	יש מגרש טניס, אם הם לא משחקים טניס, הם משחקים פוטבול.
If they're not doing that, they've got a pickup baseball game going.	אם הם לא עושים את זה הם משחקים בייסבול.
And they never lacked for companionship, because they had each other.	אף פעם לא חסרה להם חברה כי היו שם יחד. הם החברים הכי טובים שלהם.
They're each other's best friends. - Kennedy felt at one with the sea.	קנדי התאחד עם הים.
He was able to get clearer mind... they call it "blue mind"... where everything comes clear to you when you're in a maritime environment.	הוא מצא שלוות נפש, קוראים לה שלווה כחולה, דאגלס ברינקלי, סופר שהכול מתבהר כשאתה בים.
And that's why so often, he would be at Cape Cod when he would make his big decisions in his life.	לכן לעיתים קרובות הוא נסע לקייפ קוד כדי לקבל את ההחלטות הגדולות בחייו.
- In the decades to come, the family compound would serve as a source of stability and calm in Jack's ever-changing world.	בעשורים הבאים, הבית המשפחתי שימש מקור ליציבות ולרוגע בעולמו המשתנה תדיר של ג'ק.
- The principal of the Choate school wrote to the Harvard deans... I assume, the admissions office... and says, "Jack has rather superior	מנהל בית הספר "צ'וט" כתב לדקן הרווארד, משרד הקבלה, דאגלס אלמנדורף, דקן "לג'ק יש יכולת שכלית מופלאה
"mental ability without the deep interest "in his studies or the mature viewpoint	"ללא עניין עמוק בלימודיו או ההשקפה הבוגרת
"that demands of him his best effort all the time.	"הדורשים ממנו את המאמץ המיטבי כל הזמן.
"He can be relied upon to do enough to pass.	"אפשר לסמוך עליו שיעשה מספיק כדי לעבור.
"We have been and are working our hardest to develop	"עבדנו כמיטב יכולתנו כדי לפתח את העניין האישי של ג'ק,
"Jack's own self-interest. "Great enough in social life, to the point "that will assure him a record in college	"מספיק בחיי החברה, כדי להבטיח לו הצלחה במכללה,
"more worthy of his natural gifts of intelligence, likableness, and popularity."	"הרבה יותר מכישוריו הטבעיים "של אינטליגנציה, חביבות ופופולריות."
- Jack entered Harvard in fall of 1936.	ג'ק נכנס להרווארד בסתיו 1936.
- It is said that his grades weren't very good when he was a student at Harvard.	נאמר שציוניו לא היו טובים כשהיה סטודנט בהרווארד.
- At Harvard in his first year, he's interested in one thing... conquering as many women as he can.	בהרווארד, בשנה הראשונה, מרטין וו סנדלר, עורך הוא התעניין בדבר אחד, כיבוש של נשים רבות ככל האפשר. הוא היה טוב בזה.
- Though the 19-year-old Jack lost the election for freshman class president, he was active socially.	אף שג'ק בן ה -19 הפסיד 'בבחירות לנשיאות מחזור שנה א, הוא היה פעיל חברתי.
He took on the task of organizing the freshman smoker, a large party held at the end of the year.	הוא קיבל על עצמו לארגן 'את "מחששת" שנה א, מסיבה גדולה בסוף השנה.
Jack supplied first-rate tobacco and arranged for appearances by two jazz orchestras, dance groups, and baseball stars.	ג'ק סיפק טבק איכותי וארגן הופעות של שתי תזמורות ג'ז, להקות ריקוד וכוכבי בייסבול.
The party impressed his fellow students.	המסיבה הרשימה את חבריו הסטודנטים.
Jack Kennedy had captured their attention.	ג'ק קנדי משך את תשומת ליבם.
- He would just grab the coolest person there and kind of go off in the corner and have a private conversation. I mean, he was not... he was not an extrovert.	הוא היה לוקח את האדם הכי מגניב לפינה ג'ון טי שואו, כתב קונגרס לשיחה פרטית.
He was really very much of an introvert.	הוא לא היה מוחצן, הוא היה מופנם מאוד.
He did not draw energy from big groups of people. He much preferred smaller conversations. You know, had lots of friends.	הוא לא משך אנרגיה מקבוצות גדולות, הוא העדיף שיחות קטנות יותר, היו לו הרבה חברים, כמה חוגי חברים.
He had various circles of friends. - It was fun.	זה היה כיפי, קליל.
It was light. I think of him as a character of literature like Long John Silver, like incredibly charming but dangerous. You know?	אני חושב עליו כדמות ספרותית כמו לונג ג'ון סילבר, מקסים אבל מסוכן, כריס מתיוז, סופר אי אפשר לעמוד בפניו.
Like irresistible. - It's a combination of looks, style, eloquence, empathy.	זה שילוב של מראה, סגנון, דיבור, חביבות.
- I think the only word you can use is,	המילה היחידה שאפשר להשתמש בה היא שלקנדי היה "שאר רוח".
Kennedy had charisma. It was natural.	ג'יליאן סורנסן, אשת כותב הנאומים של ג'ון קנדי זה היה טבעי.
And he would come into a room and he was the center of attention.	הוא נכנס לחדר והיה מרכז תשומת הלב.
- He probably elicited more humor with fewer words than anyone.	הוא עורר יותר הומור בפחות מילים.
It was a very acerbic, deadpan, sarcastic sense of humor, great sense of timing.	חוש הומור חריף, חד ועוקצני, תזמון מעולה.
- By all accounts, being around Kennedy was incandescent.	מכל בחינה, היה נפלא להיות ליד קנדי.
It was, as Winston Churchill said of Franklin Roosevelt, like opening a bottle of champagne.	זה היה כמו שווינסטון צ'רצ'יל אמר על פרנקלין רוזוולט: אנדרו כהן, סופר "כמו לפתוח בקבוק שמפניה."
- "He looked like he could be blown over with a good breath," said Jack's new football coach.	"הוא נראה כאילו שאפשר להעיף אותו בנשיפה." אמר מאמן הפוטבול של ג'ק.
Tall and lanky, the 20-year-old Jack didn't look much like an athlete, but he tried his best to stay active in athletics like football and swimming.	גבוה ורזה, ג'ק בן ה -20 לא נראה כמו אתלט, אבל הוא ניסה להישאר פעיל בענפי אתלטיקה כמו פוטבול ושחייה.
His first two years at Harvard were lackluster academically, largely due to his interest in athletics and girls.	השנתיים הראשונות שלו בהרווארד היו פושרות מבחינה אקדמית, בעיקר בשל העניין שלו באתלטיקה ובבחורות.
However, Jack began to take his education more seriously in his junior year, even making the dean's list.	אבל ג'ק החל להתייחס ללימודיו ברצינות בשנתו השלישית, אפילו הגיע לרשימת מצטייני הדקן.
- While successful people mature at different rates, he had to find his place.	אף שאנשים מצליחים מתבגרים בקצב שונה, הוא היה צריך למצוא את מקומו.
Here, he's got this older brother, Joe Jr., who is considered the shining star of the family, and Jack has trouble dealing with that.	כאן יש לו אחיו הגדול, ג'ו ג'וניור, שנחשב הכוכב של המשפחה, וג'ק התקשה להתמודד עם זה.
And it's not until later, when he's in his advanced years at Harvard, that he gets quite serious.	רק בשלב מאוחר יותר, בהמשך שנותיו בהרווארד, הוא הרצין.
- On December 9, 1937,	בתשעה בדצמבר, 1937
"The New York Times" broke the news.	"ניו יורק טיימס" בישר את החדשות.
Jack's father, Joe Kennedy, later nicknamed "Jolly Joe"	אביו של ג'ק, ג'ו קנדי, שכונה על ידי העיתונים "ג'ו העליז",
by the press, would be the new United States ambassador to Great Britain.	מונה השגריר החדש של ארצות הברית בבריטניה.
- Just arrived in England after a very pleasant trip from the United States.	הגעתי לאנגליה אחרי נסיעה נעימה מאוד מארצות הברית.
I'm looking forward, with great anticipation, taking up my duties here.	אני מצפה מאוד למלא את תפקידי כאן.
- The Great Depression is a terrible calamity for millions upon millions of Americans.	המיתון הגדול היה אסון נורא למיליוני אמריקנים.
When Franklin Roosevelt took the oath of office in March of 1933, we estimate that there were 13 million people unemployed.	כשפרנקלין רוזוולט הושבע לנשיא במארס 1933, הערכנו שהיו 13 מיליון מובטלים,
That was about 25% of the entire workforce of the United States.	‏25 אחוז מכוח העבודה בארצות הברית. ג'ו דאג.
- Joe was worried.	הוא היה שמרן, אבל הבין שלנשיא הובר לא היה מושג
He was a conservative, but he understood that Hoover did not have a clue as to how to end the depression and save capitalism and American democracy.	איך לסיים את המיתון ולהציל את הקפיטליזם ואת הדמוקרטיה האמריקנית.
And Joe Kennedy understands earlier than most that the Depression is the greatest threat to American capitalism that this nation has ever seen.	ג'ו קנדי מבין מוקדם יותר מכולם שהמיתון הוא האיום הגדול ביותר על הקפיטליזם האמריקני שהאומה הזאת ראתה.
