Previously on "The Blacklist"...	Anteriormente en "The Blacklist"...
A coincidence.	Una coincidencia.
A forced dance rehersal.	Un ensayo forzoso de baile.
Destiny decided.	El destino decidido.
The scandal.	El escándalo.
Downhill	Al pie de la colina.
A recognition.	Un reconocimiento.
Dear Miss:	Querida Señorita:
A friend would like to talk with you	Un amigo interesado en hablar con usted
The bill must be paid.	La deuda debe ser saldada.
The one who must earn the money.	El único que debe ganar el dinero.
A wasted life.	Una vida desperdiciada.
The End.	Fin.
Dear Nelly, despite your guardian's refusal,	Querida Nelly, A pesar de la negativa de tu tutor, impondré nuestra relación
Sir, if you intend to kidnap my niece, you will likely have no luck, so don't put yourself in harm's way.	Señor, si pretende secuestrar a mi sobrina, no tendrá suerte, así que será mejor que no se exponga al peligro. Barón de Pouny
The guardian makes his preparations.	El tutor emprende sus preparativos.
Dear Nelly, your guardian resolutely opposes our union so	Querida Nelly, Tu tutor se opone rotundamente a nuestra unión.
I will carry you off by the same means as you receive this letter.	Por eso te raptaré tan pronto como recibas esta carta.
Yours, Julius	Tuyo, Julius
Preparation for departure.	Preparativos de la partida.
Subs by SickSadWorld @ KG 2022	Intertítulos traducidos por * * * toerless * * *
The Treacherous Woman (The Traitor)	La traidora
Dramatic War Story By D. J. Rector	Dramático episodio de guerra De D. J. Rector
Original Film	Film original de
Fifth film by Asta Nielsen in the 1911 Series.	Quinto film de la serie Asta Nielsen 1911.
In collaboration with:	Con la colaboración de:
Marquis de Bougival	Marqués de Bougival
- Max Obala	- Max Obal
Yvonne, his daughter	Yvonne, su hija
- Asta Nielsen	- Asta Nielsen
Lieutenant von Mallwitz	Subteniente von Mallwitz
- Rob. von Valberg.	- Rob. von Valberg.
Vujrat, leader of the partisans	Vujrat, líder de los partisanos
- Emil Albes.	- Emil Albes.
At the outpost.	En el puesto de avanzada.
Lieutenant von Mallwitz receives an order to occupy the castle.	El subteniente von Mallwitz recibe la orden de ocupar el castillo.
Tell my daughter, I wish to present the honorable lieutenant!	Dígale a mi hija, que deseo presentarla al honorable subteniente!
Between patriotism and love.	Entre patriotismo y amor.
He liked to ....	Gustarle....
Does not come .....	No viene.....
Fragrant greetings.	Saludos perfumados.
In the troops' barracks.	En el salón de la tropa.
Rejected.	Desdeñado.
A brief pause before Act II.	Breve pausa antes del II Acto.
Second act.	Segundo acto.
The temptress.	La seductora.
Alarm!	Alarma!
Duty above all else.	El deber por encima de todo.
Revenge.	Venganza.
Partisans.	Los partisanos.
10 pm:	10 pm.
The signal.	La señal.
A brief pause before Act III.	Breve pausa antes del III Acto.
Act III	Acto III
This was not intended.	No era esa su intención.
Rescue at any price.	Rescate a cualquier precio.
The last resort.	El último recurso.
It's time.	Llegó la hora.
The last bullet ...... the traitor!	La última bala ...... la traidora!
End	Fin
Script:	Continuista:
Cica Ilija Stanojevic and Cira Manok Savkovic	Cica Ilija Stanojevic y Cira Manok Savkovic.
Based on play "Karadjordje" by Milos Cvetic, epic song "Start of the uprising" and history books.	Basada en "Karadjordje" de Milos Cvetic. La canción épica "El inicio de la sublevación" y los libros de historia.
Executive producer:	Productor ejecutivo:
Svetozar Botoric Director:	Svetozar Botoric. Director:
Cica Ilija Stanojevic	Cica Ilija Stanojevic.
Karadjordje, the first Serbian feature film was filmed in summer 1911. and presented on October 23rd.	Karadjordje, la primera película serbia, fue filmada en el verano de 1911 y presentada el 23 de octubre.
For the last time, movie was presented in 1928. in USA and since than it was considered as lost.	Fue exhibida por última vez en 1928. Desde entonces fue considerada perdida.
Film was founded in Austrian film archive in Wien in July of 2003.	La película fue encontrada en el archivo Austriaco de Viena en junio del 2003.
Movie was authenticated by general manager of "Jugoslovenska kinoteka" Radoslav Zelenovic... and manager of "Arhiva jugoslovenske kinoteke" Aleksandar Erdeljanovic.	La película fue autentificada por el director general de la... "Kinoteca de Yugoslavia" Radoslav Zelenovic... y el gerente de "Archivos de la kinoteca yugoslava" Aleksandar Erdeljanovic.
This copy was made in Cine laboratory in Rome.	Esta copia fue restaurada en el laboratorio de cine de Roma.
Original movie was made without intertitles, but they were made by Aleksandar Erdeljanovic.	La copia original no llevaba intertítulos, pero fueron agregados por Aleksandar Erdeljanovic.
After Serbia was defeated in Kosovo battle in 1389, since 1459. it was occupied by Turkish empire.	Serbia fue derrotada en la batalla de Kosovo en 1389. Desde 1459. fue ocupada por el imperio Turco.
For almost four centuries Serbian people was humiliated and without any rights...	Por casi cuatro siglos los Serbios fueron humillados y no tuvieron derechos.
But Serbs believed that they are going to be free and united again some day.	Pero los serbios creían que volverían a ser libres e unificados algún día.
Man who united Serbs and brought freedom was "Father of Serbia" Karadjordje Petrovic (1762-1817).	El hombre que los unió y trajo la libertad... fue "El padre de Serbia" Karadjordje Petrovic.
14th November 1762.	14 de noviembre de 1762.
Visevac, village in Sumadija (part of Serbia)	Visevac, aldea de Sumadija.
In the house of Petar Zivkovic child was expected.	En la casa de Petar Zivkovic se esperaba un niño.
Turkish landowner came with plea to spend the night.	El terrateniente turco vino con un pretexto para pasar la noche.
- While I was praying, I saw Milos Obilic (Serbian mythical warrior)... and he was blessing the child.	- Mientras yo rezaba, vi a Milos Obilic (Mítico guerrero Serbio)... y estuvo bendiciendo al niño.
- What was it, your honor?	- ¿Qué fue eso, su honor?
Petar, the terrible lion came in my dream and ate me, but Childs voice awoke me.	Un terrible león vino en mis sueños para comerme, pero el llanto del niño me despertó.
I want to see that child.	Quiero ver a ese niño.
Your son will be great man.	Tu hijo será un gran hombre.
Take good care of him and always remember what I told you.	Cuídalo bien... y siempre recuerda lo que te dije.
Years were passing by.	Los años fueron pasando.
Little Djordje liked to play Serbs and Turks, but he enjoyed most... listening epic songs about Kosovo battle and death of sultan Murat who was killed... by Milos Obilic, great hero.	Al pequeño Djordje le gustaba jugar a Serbios y Turcos, pero disfrutaba más... escuchar las canciones épicas sobre la batalla del Kosovo y la muerte del sultán Murat... quién fue asesinado por Milos Obilic, el gran héroe.
Once, vicious Turk came to Djordje, little Shepard.	Una vez, un Turco vicioso vino donde Djordje, en Sheperd.
Righteous anger.	Odio legítimo.
More years passed by.	Más años han pasado.
Girls were coming to the spring to talk, but Jelena was waiting for someone.	Con la primavera las niñas vienen a conversar... pero Jelena esperaba a alguien.
I'm fond of you.	- Le parezco agradable.
I'd like to take you to be my wife.	Me gustaría tomarla por esposa.
Envious and angry father.	El padre envidioso y enojado.
Djordje got married.	Djordje se casó.
But soon, Turks came to his hose in Topola.	Pero pronto, los turcos vinieron a su casa en Topola.
Their leader was janissary Adem.	Su líder fue janissary Adem.
Grandma' roast ram!	- ¡Abuela, carnero asado!
And you bride, come to serve, as you will be tonight.	- Y la novia... venga a servirnos, también lo será ella esta noche.
- You are threatening, but how you are going to... your master and Sultans son? - Don't you know that Serb would kill anyone for his honor?	- ¿No sabes que el Serbio mataría por su honor?
- Just like this!	- ¿A tu amo e hijo de sultanes? - ¡Es lo justo!
For some time, Djordje was outlaw with Stanoje Glavas and he killed more Turks.	Por algún tiempo, Djordje estuvo fuera de la ley... con Stanoje Glavas y mató mas Turcos.
Turks called him Black Djordje because of his dark ten.	Los Turcos lo llamaron Djordje el negro.
In fear of Turkish revenge, he went Over Sava river to Srem, but... His stepfather Petronije changed his mind and said that he is going to give them away to Turks if they don't come back.	Por temor a la represalia Turca, el fue por el río Sava a Srem, pero... su suegro Petronije cambió de opinión y dijo que los entregaría a los Turcos si ellos no regresaban.
It's better for me to kill him and be responsible in Gods eyes than to let Turks to kill us all.	Es mejor matar y ser responsable ante Dios... a dejar que los Turcos nos maten a todos.
Base of Austrian army in Sombor 1787.	Base del ejército Austriaco en Sombor, 1787.
Fighting bravely, Karadjordje became sergeant in Austrian army, but he was homesick.	Luchando valerosamente, Karadjordje... llega a sargento en el ejército austriaco, pero extrañaba su tierra.
There was no comfort.	No había comodidad.
As soon as he read confidential letter form Serbia, he decided... that he doesn't want to get killed for others when time for battles in Serbia is coming.	En cuanto leyó una carta confidencial de Serbia, lo decidió... no quería morir por otros... cuando en Serbia las batallas comenzaban.
Hidden by the shelter of the night, again in Serbia.	Ocultado por la oscuridad de la noche, llegó a Serbia.
After murder of Just Mustafa in 1801.	Luego asesinó a un Mustafá en 1801.
Serbia was under seven Turkish outlaws.	Serbia estaba bajo los proscritos turcos.
Robberies, raping, taking children into slavery became very often.	Los robos, violaciones, la esclavitud infantil... se hicieron usuales.
By the ending of 1803. Serbs decided to organize uprising.	A fines de 1803, los Serbios decidieron organizar el levantamiento.
Turkish landlords started consultations in Belgrade tower "Nebojsa".	Los propietarios Turcos se reunieron a consultar en la torre "Nebojsa".
They were looking for signs from the sky.	Buscaban las señales del cielo.
In casserole they saw their bodies without heads.	En la cacerola vieron sus cuerpos sin cabezas.
In holly books they founded confirmation of their near ending, because of their actions.	En sus libros sagrados confirmaron... la cercanía de su final, debido a sus actos.
They refused advice of their father Foca (100 years old) to be kind to the Serbs.	Rechazaron el consejo de su padre Foca... (Cien años atrás) de ser amables con los serbios.
Worst among them, Focic Mehmed-aga suggests killing leaders: Palalija, Bircanin, Carapic and Karadjordje.	El peor de ellos, Focic Mehmed-aga... aconseja matar a los líderes:
After death of more than 80 significant people, Serbs realized that it is time for uprising.	Luego de la muerte de 80 personas importantes... los serbios comprenden que es hora de levantarse.
