Previously on "The Blacklist"...	سابقا في "القائمة السوداء"...
Washington wanted the new President's assurance that he would continue to appoint African Americans to federal jobs and resist those Republicans who wanted to crack the solid Democratic South by turning the party of Lincoln "lily white."	‫أراد "واشنطن" تأكيد الرئيس الجديد ‫أنه سيستمر بتعيين أمريكيين ‫من أصل إفريقي بوظائف فيدرالية ‫ومقاومة الجمهوريين الذين أرادوا أن يشققوا ‫الجنوب الديمقراطي الصلب
Roosevelt, on the other hand, wanted to make sure that he and he alone controlled all the black delegates to the republican convention in 1904.	‫وأراد "روزفلت" ‫بدوره أن يحرص على أن ‫يتحكم وحده بجميع المفوضين السود ‫للمؤتمر الجمهوري عام 1904.
The dinner invitation for Washington was a matter of simple courtesy, he said.	‫كانت دعوة العشاء بالنسبة ‫إلى "واشنطن" مسألة لباقة بحتة كما قال.
"The very fact that I felt a moment's qualm on inviting him"	‫"حقيقة أن راودني ارتياب مفاجىء ‫عند دعوته بسبب لونه
because of his color made me ashamed of myself and made me "send the invitation."	‫جعلتني أشعر بالخجل من نفسي ‫وجعلتني أرسل الدعوة."
A reporter for one of the wire services noticed Washington's name in the register of visitors and filed a story.	‫مراسل من إحدى خدمات القنوات مدفوعة الاجر ‫لاحظ اسم "واشنطن" ‫في سجل الزيارات ونشر القصة.
Although black slaves had built the executive mansion and black servants had waited upon all of its occupants, no black American had ever dined there before and not only had the President dined with Washington but he had done so in the company of his wife and teen-aged daughter, Alice.	‫رغم أن العبيد السود قد بنوا ‫القسم التنفيذي ‫وخدم الخادمون السود جميع ‫من دخلوه ‫ولكن لم يتناول أمريكي أسود ‫العشاء هناك مسبقاً
White men of the South, how do you like it?	‫أيها الرجال البيض في الجنوب، ‫أيعجبكم الأمر؟
White women of the South, how do you like it?	‫أيتها النساء البيضاوات في الجنوب، ‫أيعجبكن الأمر؟
The negro is not the equal of the white man.	‫الزنجي ليس مساوياً للرجل الأبيض
Mr. Roosevelt might as well try to rub the stars out of the firmament as try to erase that conviction from the hearts of the American people.	‫أن يقوم السيد "روزفلت" ‫بمحاولة محو النجوم من السماء ‫أسهل من إخراج هذا المعتقد ‫من قلوب الشعب الأمريكي.
"New Orleans times-democrat"	‫صحيفة "نيو أورلينز تايمز ديموكرات".
"The action of President Roosevelt in entertaining that nigger, "	‫"تصرُف الرئيس (روزفلت) باستضافة ‫ذلك الزنجي..."
said senator Ben tillman of South Carolina,	‫كما قال السيناتور "بين تيلمان" ‫من "كارولينا الجنوبية".
"will necessitate our killing a thousand niggers in the South before they will learn their place again."	‫"... سيتطلب قتل ألف زنجي ‫في الجنوب قبل إدراك منزلتهم مجدداً."
The President was astonished at the furor.	‫"اذهب إلى الخلف واجلس" ‫ذهل الرئيس بهذا الغضب.
"I would not lose my self- respect by fearing to have a man like booker t.	‫"الصحافة الجنوبية تندد بـ(روزفلت)" ‫"لن أفقد احترامي لذاتي ‫بالشعور بالخوف" ‫"لاستضافة رجل مثل (بوكر تي واشنطن) ‫على العشاء"، كما كتب.
Washington to dinner, " he wrote, " if it cost me every political friend I have got."	‫"حتى لو كلفني هذا جميع ‫أصدقائي السياسيين."
Washington remained Roosevelt's most important	‫بقي "واشنطن" بالنسبة إلى "روزفلت" ‫أهم حليف أمريكي من أصل إفريقي
African-American ally, but the President never again asked him or any other black person, to dine at the White House.	‫لكن الرئيس لم يدعه مجدداً ‫أو أي شخص أسود آخر ‫للعشاء في البيت الأبيض.
When Theodore Roosevelt became President, industrial production had never been higher or the profits greater.	‫عندما أصبح "ثيودور روزفلت" رئيساً ‫لم يسبق للإنتاج الصناعي أن يكون ‫بمثل هذه المعدلات المرتفعة ‫أو الأرباح أكبر.
But only a handful of men dominated American finance and industry and reaped those profits.	‫لكن رجالاً قلائل سيطروا ‫على الأموال الأمريكية ‫وكذلك الصناعة وحصدوا هذه الأرباح.
Through the manipulation of some 250 big interlocking, interstate corporations...	‫عن طريق التلاعب بحوالي ‫250 شركة ضخمة متصلة بين الولايات
Monopolistic trusts...	‫واحتكار الاستثمارات
They dictated the rates farmers paid to ship their products and the wages and hours and conditions industrial workers had to accept.	‫حددوا الأتعاب التي تدفع للمزارعين ‫كي يصدروا منتجاتهم ومرتبات وساعات ‫وكذلك الظروف ‫التي كان على العمال الصناعيين ‫القبول بها.
They decided the cost to consumers of everything:	‫لقد قرروا أسعار جميع المواد ‫التي يستخدمها المستهلك
From coal to whiskey, canned carrots to lamp oil.	‫من الفحم إلى الـ"ويسكي" ‫إلى الجزر المعلب وزيت المصابيح.
And they destroyed small businessmen who dared try to compete with them.	‫ودمروا رجال الأعمال الصغار ‫الذين تجرؤوا على منافستهم.
J. Pierpont Morgan, the new York financial titan, who had been a friend of the President's father, spoke for most of the men who ran the trusts when he said,	‫"جاي بيبونت مورغان"، ‫عملاق الاستثمارات في "نيويورك" ‫والذي كان صديقاً لوالد الرئيس ‫تحدث نيابة عن أغلب الرجال الذين ‫أداروا الاستثمارات عندما قال
"I owe the public nothing."	‫"لا أدين للعامة بشيء."
That attitude was anathema to Theodore Roosevelt.	‫كان موقفهم هذا بمثابة لعنة ‫بالنسبة إلى "ثيودور روزفلت".
He had a patrician scorn for mere wealth and an inbred sense of responsibility toward society.	‫كان لديه حقد أرستقراطي المنبع ‫للثراء الفاحش ‫وكان لديه حس فطري بالمسؤولية ‫تجاه المجتمع.
I have been in a great quandary over trusts.	‫أنا في مأزق كبير بالنسبة للاستثمارات.
I do not know what attitude to take.	‫لا أعرف أي موقف أتخذ.
I do not intend to play a demagogue.	‫لا أنوي لعب دور المحرض.
On the other hand, I do intend to see that the rich man is held to the same accountability as the poor man, and when the rich man is rich enough to buy unscrupulous advice from very able lawyers, this is not always easy.	‫لكني أنوي أن أجعل الرجل الثري يتحمل ‫المسؤولية ذاتها كما يفعل الرجل الفقير ‫وعندما يكون الثري ثرياً كفاية ‫لشراء نصيحة عديمة الضمير من محام مقتدر ‫فالأمر ليس سهلاً دائماً.
I think Roosevelt understood that the trusts were important but they were getting out of control.	‫أعتقد أنّ "روزفلت" فهم أن الاستثمارات مهمة ‫لكنها كانت تخرج عن السيطرة.
When, the Constitution was written in 1787, there were no corporations, there were almost no banks.	‫عندما تمت كتابة الدستور عام 1787 لم تكن ‫هناك شركات ضخمة وبالكاد كانت هناك مصارف
So all this had sprung up in the 19th century and particularly after the civil war.	‫لذا ظهر كل هذا في القرن الـ19 ‫وخاصة بعد الحرب الأهلية.
The only counterweight to capitalism is government.	‫المواجهة الوحيدة للرأسمالية ‫هي الحكومة.
Labor would like to be the counterweight but it isn't quite yet.	‫تود الطاقة العمالية أن تكون كذلك ‫لكنها ليست كذلك في الحقيقة.
So the one entity that can really create a restraining mechanism on runaway capitalism is government.	‫لذا الهيئة الوحيدة التي يمكنها أن تشكل ‫ضغطاً على الآلية الرأسمالية هي الحكومة.
And if the Constitution doesn't seem to want that, we're gonna do it anyway.	‫وإن لم يكن الدستور يريد هذا ‫فسنفعل هذا على جميع الأحوال.
On February 18, 1902, without any warning, the President ordered his justice department to file suit against one of the trusts in which j.P. Morgan had a major interest, the northern securities company.	‫في 18 فبراير 1902 ‫ودون أي تحذير ‫أمر الرئيس وزارة العدل ‫أن ترفع قضية ‫ضد أحد الاستثمارات التي كان ‫لـ"جاي بي مورغان" اهتمام كبير بها،
Its goal was the monopolistic control of all of the rail roads between the Great Lakes and the Pacific Ocean.	‫كان هدفها احتكار جميع السكك الحديدية ‫بين البحيرات العظمى والمحيط الهادىء.
Morgan was stunned.	‫شعر "مورغان" بالصدمة.
He hurried to the White House.	‫أسرع إلى "البيت الأبيض".
"If we have done anything wrong, " he told the President,	‫أخبر الرئيس، ‫"إن فعلنا شيئاً خاطئاً،
"send your man to my man and they can fix it up."	‫فأرسل رجلك إلى رجلي ‫ويمكنهما إصلاح الأمر."
"That can't be done, " the President said.	‫رد الرئيس، "لا يمكن فعل هذا".
"We don't want to fix it up, " his Attorney General philander knox added, "we want to stop it."	‫وأضاف المدعي العام لديه ‫"لا نريد إصلاح هذا..." ‫واسمه "فيلاندر نوكس" ‫"... بل نريد أن نوقفه".
Morgan asked if the administration planned to attack any of his other interests.	‫سأل "مورغان" إن كانت الإدارة ‫تنوي مهاجمة أي مصالح أخرى له.
Roosevelt replied, not unless they'd done something wrong.	‫ورد عليه "روزفلت" قائلاً ‫"ليس إن لم يرتكبوا خطأ."
The supreme court would eventually uphold	‫في النهاية حافظت المحكمة العليا ‫على قرارات "روزفلت"
Roosevelt's actions, finding northern securities had been in illegal restraint of trade.	‫ووجدت أن شركة "نورثرن سيكيوريتيز" ‫تمارس التجارة غير القانونية.
The President never directly challenged Morgan again, but he would invoke the sherman anti-trust act against	‫لم يتحد الرئيس "مورغان" ‫مباشرة مجدداً ‫لكنه قدم قانون "شيرمان" للاستثمارات ‫ضد 40 عملية استثمار أخرى خلال رئاسته
40 other trusts during his presidency, more than all 3 of his predecessors combined.	‫وهذا يفوق الرؤساء الثلاثة السابقين ‫له مجتمعين.
He did not believe that economic concentration in itself was bad, but he was confident the federal government had the power and the moral duty to curb its worst excesses.	‫لم يؤمن بأن التركيز الاقتصادي ‫بذاته سيىء، ‫لكنه كان واثقاً ‫من أن الحكومة الفيدرالية لديها القوة ‫والواجب الأخلاقي لكبح ‫أسوأ حالات مبالغاته.
What was new in urban life, what was new in all these cities into which immigrants were pouring as never before, what was new was a kind of interconnectedness, a sense in which what happened in Wisconsin to the price of milk	‫ما كان جديداً في الحياة الحضرية ‫والجديد في كل هذه المدن التي تدفق ‫إليها المهاجرون بشكل لا سابقة له ‫ما كان جيداً هو نوع من التشابك
and what happened in Cincinnati to the price of pork, and what happened to the railway costs of shipping goods to the east and out to the west and elsewhere, affected everybody.	‫وما حدث في "سينسيناتي" ‫لأسعار لحم الخنزير ‫وما حدث لتكاليف شحن ‫البضائع بالقطارات إلى الشرق ‫وإلى الغرب وإلى أي مكان ‫أثر في الجميع.
Therefore, the federal government as the unifier of the nation was implicitly involved in everything.	‫ولهذا الحكومة الفيدرالية ‫كالعامل الموحد للأمة ‫كان لها علاقة ضمنية بكل شيء.
This was the beginning, at the beginning of the 20th century, what the 20th century became in America:	‫كانت هذه بداية القرن العشرين ‫وهو ما آل القرن العشرين ‫إليه في "أمريكا"
A great centralizing nation-creating force.	‫قوة مركزية هائلة تخلق الأمة.
The great corporations are the creatures of the state, and the state not only has the right to control them, but it is in duty bound to control them wherever need of such control is shown.	‫الشركات الضخمة هم المخلوقات ‫التي تملكها الدولة، ‫ولا يحق ‫للدولة فقط أن تتحكم بها ‫بل إن التحكم بها من واجباتها ‫عندما تظهر حاجة لمثل هذه السيطرة.
Government was to be a countervailing power.	‫كان على الحكومة أن تكون ‫قوة موازية
It's almost the language of newtonian physics, the language of our Constitution, checks and balances.	‫إنها كلغة قوانين "نيوتن" للفيزياء ‫إنها لغة دستورنا، الضوابط والموازين
This was checks and balances outside the Constitution.	‫كانت هذه ضوابط وموازين ‫خارج الدستور.
That the meat trust and the steel trust and the oil trust were big, maybe they're beneficial, maybe they're inevitable, but they should not operate alone.	‫أن استثمارات اللحوم والفولاذ ‫وكذلك النفط ‫كانت كبيرة وربما تكون مفيدة ‫وقد يكون لا مفر منها ‫ولكن عليها ألا تعمل وحدها.
The government must grow to reach up to where they were.	‫على الحكومة أن تكبر ‫حتى تصل إلى حيث كانوا.
I wonder how a man so thick-set, of rather abdominal contour, with eyes heavily spectated, could have so much an air of magic and wild romance about him, could give one so stirring an impression of adventure	‫"أتساءل كيف يكون رجل ‫غليظ البنية وبمعدة كبيرة ‫بعينين تغطيهما نظارة سميكة ‫يحمل كل هذا الكم من السحر ‫والرومانسية الجامحة
and chivalry.	‫ويمكن أن يعطي المرء انطباعاً ‫قوياً بالمغامرة والنخوة."
The "metropolitan magazine."	‫مجلة "ميتروبوليتان".
Fueled by cup after cup of coffee, served to him in a special mug his eldest son said was as big as a bathtub,	‫متأثراً بكوب تلو الآخر من القهوة ‫مقدمة له في كوب خاص ‫وصفه ابنه الأكبر على أنه ضخم
Theodore Roosevelt raced through his day.	‫عمل "ثيودور روزفلت" جاهداً ‫كل يوم.
Letters were answered upon receipt...	‫تمت الاجابة عن الرسائل حال وصولها ‫وبلغ عددها 150 ألف رسالة
A lifetime total of 150,000, dictated to shifts of weary stenographers.	‫ملقنة لأفواج من الكتاب ‫المختزلين المرهقين.
Jefferson wrote 22,000 letters, and we regard him as one of the great correspondents in American history.	‫كتب "جفرسون" 22 ألف رسالة ‫وقد اعتبرناه ‫كأحد أعظم المراسلين ‫في التاريخ الأمريكي.
Roosevelt wrote at least 150,000 letters.	‫كتب "روزفلت" 150 ألف رسالة ‫على الأقل
He's the writing-est President in American history, by far.	‫إنه أكثر رئيس في "أمريكا" ‫قام بكتابة الرسائل
And a number of his books are American classics.	‫وإن عدداً من كتبه تعد ‫من الكتب الكلاسيكية الأمريكية. ‫لذا فهو مفكر.
So he's an intellectual.	‫كان يقرأ كتاباً في اليوم ‫وأحياناً ثلاثة كتب.
He read a book a day, sometimes 3 books in a day when he had some leisure.	‫عندما كان لديه بعض وقت الفراغ.
You think of Jefferson as America's renaissance man, but it's really Roosevelt.	‫نحن نفكر في "جفرسون" على أنه رجل ‫النهضة لـ"أمريكا" لكنه في الواقع "روزفلت".
He would not stop talking.	‫لم يكن يتوقف عن الكلام.
He was a one-man gasbag.	‫كان رجلاً يخرج غازات ‫بطنه كثيراً.
But it was so interesting that most people didn't mind.	‫والمثير للاهتمام أن أغلب الناس ‫لم يمانعوا هذا.
One of my favorite stories is, when he heard that there was a famous big game hunter in Washington, and he said to some of the people on his staff, "get that man over here.	‫إحدى قصصي المفضلة هي أنه عندما ‫سمع بوجود صياد شهير في "واشنطن" ‫وقال لبعض الأشخاص في طاقمه ‫"أحضروه إلى هنا، أود أن أقابله فعلاً."
I'd really like to meet him." So the this big, strapping, English fellow was taken into the President's office.	‫تم إدخال هذا الرجل ‫الإنجليزي القوي إلى مكتب الرئيس.
And the door was closed and people outside the office heard this talking going on.	‫وتم إغلاق الباب ‫والأشخاص خارج المكتب سمعوا حديثاً مستمراً.
Finally the man emerged about an hour and a half later looking just beat down, just as though he'd been through a storm.	‫وفي النهاية ظهر الرجل بعد ساعة ‫ونصف تقريباً ‫وكان يبدو مرهقاً وكأنه مر ‫بعاصفة.
And one of the President's staff said, "what did you tell" the President?"	‫وقال أحد أفراد طاقم الرئيس ‫"بم أخبرت الرئيس؟"
He said, "I told him my name."	‫قال "لقد أخبرته باسمي."
We love him because of the energy.	‫نحن نحبه بسبب طاقته.
His laugh was infectious.	‫كانت ضحكته معدية.
His son Ted said, "my father had" a dozen eggs for breakfast every morning."	‫قال ابنه "تيد"، "كان والدي يتناول ‫12 بيضة على الإفطار كل صباح".
So he's a large man, and he's larger-than-life.	‫إذن فهو رجل ضخم ‫وطموحه لا حدود له.
Roosevelt once said, "there's nothing quite so exhilarating"	‫قال "روزفلت" ذات مرة ‫"لا شيء مبهج أكبر
as being thrown over the shoulders of a 300-pound Japanese man."	‫من أن يحملك رجل ياباني وزنه ‫140 كغ على كتفه."
He played all these wild games in the White House.	‫كان يمارس ألعاباً جامحة ‫في "البيت الأبيض".
He wrestled with diplomats.	‫كان يصارع الدبلوماسيين.
He played a game called single stick with Leonard Wood in which they would wrap themselves up in cushions and then beat the living daylights out of each other with sticks until Roosevelt had to stop.	‫كان يمارس لعبة اسمها "عصا واحدة" ‫مع "لينورد وود" ‫حيث كانا يلفان أنفسهما بالوسائد ‫ثم يضربان بعضهما البعض بشدة بالعصي
He boxed with a young aide, too, until a blow caused him to lose vision in his left eye.	‫ومارس الملاكمة مع مساعد شاب لديه ‫حتى قامت ضربة ‫بالتسبب بفقدان بصره ‫في العين اليسرى.
"Accordingly I thought it better to acknowledge that I had become an elderly man and would have to stop boxing, "	‫"أعتقد أن من الأفضل أن أعترف ‫بأنني هرمت وعلي أن أتوقف ‫عن ممارسة الملاكمة."
he remembered.	‫كما ذكر.
"I then took up jiujitsu for a year or two."	‫"ثم مارست الـ(جوجيتسو) لعام ‫أو اثنين."
Photographers were forbidden to cover his daily tennis games because he thought voters considered tennis a rich man's pastime.	‫منع المصورون من تغطية ‫لعبه التنس الأرضي يومياً ‫لأنه اعتقد أن الناخبين يعتقدون أن التنس ‫الأرضي طريقة يضيع الأثرياء فيها وقتهم.
But when a cameraman failed to capture his horse jumping over an obstacle, he was more than happy to make the jump again.	‫ولكن عندما أخفق مصور بالتقاط ‫صورته وهو يقفز بحصانه فوق حاجز ‫كان مستعداً وسعيداً ‫لإعادة القفزة مجدداً.
"Roosevelt bit me, " the editor William Allen White said,	‫قال المحرر "ويليام آلن"، ‫"لقد عضني (روزفلت)...
"and I went mad."	‫وأُصبت بالجنون".
In the late summer of 1902,	‫في أواخر صيف 1902
Roosevelt set out on a two- week tour of New England, campaigning for trust reform.	‫انطلق "روزفلت" في رحلة مدتها ‫أسبوعان في "نيو إنغلاند" ‫يقوم بحملة من أجل إصلاح ‫الاستثمارات.
He was on his way to speak at the Pittsfield, Massachusetts, country club on September 3rd...	‫كان في طريقه ليلقي خطاباً في "بيتسفيلد"، ‫"ماساتشوستس" في النادي الريفي في 3 سبتمبر
When a trolley car slammed into his carriage.	‫عندما اصطدمت بعربته ‫عربة جر
His bodyguard was killed.	‫ومات حارسه الشخصي.
Roosevelt was hurled 30 feet, landed on his face, and badly injured his left shin.	‫أُلقي بـ"روزفلت" 10 أمتار ‫وسقط على وجهه ‫وأصيبت عظمة ساقه اليسرى ‫إصابة خطرة. ‫"إجراء جراحة ثانية لـ(روزفلت)"
He was forced to spend several weeks in a wheelchair, confronted now with a new crisis that threatened not only the nation's economy but his own political survival.	‫أجبر على قضاء بضعة أسابيع ‫بكرسي متحرك ‫مواجهاً أزمة أخرى ‫لا تهدد اقتصاد البلاد فحسب ‫بل حياته السياسية.
Coal mining is a business... Not a religious, sentimental, or academic proposition.	‫"إن التنقيب عن الفحم عمل وليس بديانة ‫أو بأمر عاطفي أو مقترح أكاديمي.
The rights and interests of the laboring man will be protected and cared for not by the labor agitators, but by the Christian men to whom God in his infinite wisdom has given control of the property interests of the country.	‫إن حقوق وفوائد الرجل العامل ‫ستتم حمايتها والاعتناء بها ‫ليس عن طريق العمال المشاغبين ‫بل عن طريق رجال مسيحيين
George f. Baer, President, Philadelphia  reading coal and iron company.	‫"جورج إف باير"، رئيس شركة ‫"فيلادلفيا آند ردينغ" للحديد والفحم.
America ran on anthracite coal, much of it mined from Pennsylvania hillsides.	‫عملت "أمريكا" على فحم الـ"أنثراسايت" ‫وأغلبه نقب عنه في تلال "بنسلفانيا".
It was a nightmarish business.	‫كان عملاً مروعاً.
16-hour days.	‫16 ساعة في اليوم.
The constant threat of cave-ins and explosions.	‫تهديد مستمر بالانهيارات والانفجارات.
Boys as young as 10 breaking big chunks into small ones.	‫أطفال بعمر 10 سنوات يكسرون ‫قطعاً كبيرة إلى قطع أصغر.
Low wages that had not been raised for more than 20 years...	‫ومرتبات منخفضة ‫لم تعدل منذ 20 عاماً
And company-owned stores intended to swallow up what little money the miners could scrape together.	‫ومتاجر تملكها الشركة ‫تنوي ابتلاع أي أموال ‫قليلة جناها عاملو المناجم.
And dominating all of it, mine owners adamantly opposed to change.	‫للسيطرة على كل هذا، ‫عارض أصحاب المناجم التغيير دائماً.
In the spring, the united mine workers union had called for a strike.	‫في الربيع، بدأت نقابة عمال ‫المناجم المتحدة إضراباً.
140,000 men laid down their pick axes.	‫140 ألف رجل وضعوا فؤوسهم ‫على الأرض.
Management refused even to hear their grievances.	‫رفضت الإدارة سماع شكواهم حتى.
Over the next several months, the price of coal rose from $5.00 to $30 a ton.	‫وفي الأشهر التالية ارتفعت أسعار الفحم ‫من 5 دولارات إلى 30 للطن الواحد.
Winter was coming.	‫"76584" ‫كان الشتاء قادماً.
Homes would remain unheated.	‫كانت ستبقى البيوت من دون دفء.
Roosevelt believed there was a real chance of what he called	‫اعتقد "روزفلت" أن هناك فرصة ‫كبيرة لما يدعوه
"the most awful riots this country has ever seen."	‫"أفظع شغب تشهده البلاد."
The administration was sure to take the blame.	‫وكانت الحكومة ستتلقى اللوم.
And Roosevelt decided for the good of the country that he needed to intervene.	‫قرر "روزفلت" من أجل مصلحة البلاد ‫أن عليه التدخل.
The problem was he had no constitutional authority of any sort to intervene.	‫المشكلة أنه لم يتمتع بالصلاحية الدستورية ‫لهذا النوع من التدخل.
The President summoned both sides to Washington to discuss what he called "a matter of vital"	‫استدعى الرئيس الطرفين إلى "واشنطن" ‫ليناقشا ما دعاها
concern to the whole nation."	‫"مسألة هامة تخص البلاد كاملة."
Roosevelt holds them together and he says, "gentlemen", I want you to agree to arbitrate."	‫يجمعهم "روزفلت" معاً ويقول لهم "أيها السادة ‫أريدكم أن توافقوا على التحكيم بينكم."
And the coal operators say, "no way, we're not doing it." We don't have to."	‫وقال مندوب شركات الفحم ‫"مستحيل، لن نفعل هذا فليس علينا فعل هذا."
And Roosevelt says, "very well then."	‫وقال "روزفلت" بعدها،
"I will nationalize the mines and use the United States army to run them for the good of this people."	‫"حسناً، سأقوم بتأميم المناجم وأستخدم جيش ‫(الولايات المتحدة) لإدارتها لمصلحة الناس."
And they all say, "you have no constitutional authority" of any sort to do that."	‫وقالوا له، "ليست لديك صلاحية ‫دستورية لفعل أي من هذا."
And he says, "I know I don't."	‫وأجاب "أعرف هذا...
"The President has a moral duty to the American people that is	‫ولكن لدى الرئيس واجب أخلاقي ‫تجاه الشعب الأمريكي
"higher than his constitutional duty. And by Godfrey, I'm gonna do it if I have to."	‫وهو واجب أسمى من الواجب الدستوري ‫وأقسم إني سأمارسه إن اضطررت لذلك."
A conservative congressman confronted the President.	‫واجه أحد أعضاء الكونغرس المحافظين ‫الرئيس.
"What about the Constitution of the United States?" He asked.	‫وسأله "ماذا عن دستور البلاد؟
"How could private property be put to public purposes without due process of law?"	‫كيف يمكن وضع ممتلكات خاصة ‫بين أيدي العامة ‫من دون إجراءات قانونية كاملة؟"
Roosevelt grasped his visitor's lapels.	‫أمسك "روزفلت" بطيات ‫معاطف زائريه
"The Constitution was made for the people and not the people "for the Constitution, " he said.	‫وقال "أُعد الدستور للناس ‫ولم يوجد الناس من أجل الدستور."
The mine owners retreated, but only slightly.	‫تراجع مالكو المناجم ولكن قليلاً فقط.
They agreed to follow the suggestions of a presidential commission provided no member of the united mine workers union sat on it.	‫ووافقوا على اتباع مقترحات ‫اللجنة الرئاسية ‫ولكن بشرط ألا يكون أحد أعضاء نقابة ‫عمال المناجم فيها.
But Roosevelt was determined that labor have a voice and appointed the head of the rail road conductor's union, instead.	‫لكن "روزفلت" كان مصراً ‫على حصول العمال على صوتهم ‫وعين رئيس نقابة مرشدي ‫السكك الحديدية كبديل.
The owners objected until the President told them, with a straight face, that he was naming him as a "sociologist, " not a union man.	‫اعترض الملاك حتى أخبرهم الرئيس ‫بوجه صارم الملامح أنه سيعينه ‫كعالم اجتماعي ‫وليس كعضو في النقابة.
I shall never forget the mixture of relief and amusement I felt when I thoroughly grasped the fact that while they would heroically submit to anarchy rather than have tweedledum, yet if I would call it tweedledee, they would accept it with rapture;	‫لن أنسى مزيج الشعور بالراحة ‫والمتعة عندما فهمت حقيقة ‫أنهم مستعدون للخضوع للفوضى ‫ببطولية بدلاً من قبول الأمر ‫لكن لو منحته اسماً مختلفاً ‫كانوا سيقبلونه بفرح
It gave me an illuminating glimpse into one corner of the mighty brains of these "captains of industry."	‫"التاريخ، مصير الذين ‫اعتقدوا يملكون الأرض" ‫منحني هذا النظرة المنيرة على زاوية ‫من زوايا عقل هؤلاء "القادة الصناعيين". ‫استمر ملاك المناجم
The mine owners continued to refuse to recognize the union, but they did agree to a 10% pay raise and a 9-hour day.	‫برفض الاعتراف بالنقابة ‫لكنهم وافقوا على... ‫زيادة الدخل بنسبة 10 بالمائة ‫وتسع ساعات عمل يومياً فقط.
The strike ended.	‫انتهى الإضراب.
American homes would be heated and in the midterm elections, the Republicans would maintain majorities in both houses of congress.	‫ستتم تدفئة البيوت الأمريكية، ‫وفي انتخابات منتصف مدة الحكم ‫احتفظ الجمهوريون بالأغلبية ‫في كلا فرعي الكونغرس.
Roosevelt was jubilant.	‫كان "روزفلت" مغتبطاً.
He was the first President to mediate a labor dispute, the first to treat labor as a full partner, the first to threaten to employ federal troops to seize a strike-bound industry.	‫كان أول رئيس ‫يتوسط لحل خلاف عمالي. ‫وأول من يعامل العمال ‫كشريك كامل ‫وأول من يهدد بإرسال قوات فيدرالية ‫للسيطرة على الصناعة التي تعاني من الإضراب.
And it had all worked.	‫وقد نجح كل شيء.
Cambridge, Massachusetts. October 26, 1902.	‫"كامبريدج"، "ماساتشوستس" ‫26 أكتوبر 1902.
Dearest mama, it has been very chilly here for the past week, and the Harvard buildings have been cold through lack of fuel, but now that the strike is settled, the coal has begun to come in small quantities.	‫"أمي العزيزة، كان الطقس بارداً ‫هنا في الأسبوع الأخير ‫وبناية (هارفارد) كانت باردة ‫بسبب نقص الوقود ‫ولكن بما أن الإضراب قد انتهى ‫بدأ الفحم بالوصول بكميات قليلة
In spite of the President's success in settling the trouble,	‫وبرغم نجاح الرئيس في حل المشكلة.
I think that he makes a serious mistake in interfering... politically, at least.	‫أعتقد أنه ارتكب خطأ ‫بهذا التدخل، على الأقل سياسياً.
His tendency to make the executive power stronger than the houses of congress is bound to be a bad thing, especially when a man of weaker personality succeeds him in office.	‫نزعته في جعل القوة التنفيذية ‫أكبر من مجالس الكونغرس سيئة في النهاية ‫وخاصة عندما يخلفه رجل ‫شخصيته أضعف في المنصب.
Ever with love, f.D.R.	‫مع حبي الخالص (إف دي آر)."
Franklin Roosevelt was a Harvard sophomore now and echoing the conservative opinions of classmates whose well-to-do parents were appalled at his cousin's willingness to deal directly with labor.	‫"فرانكلين روزفلت" ‫في السنة الثانية في "هارفارد"، ‫وكان يردد الآراء المحافظة ‫زملاؤه ذوو الآباء الأثرياء ‫وكان مذعوراً من استعداد ابن عمه ‫على التعامل مباشرة مع العمال.
His own mother disagreed.	‫والدته عارضت الأمر.
"One cannot help loving and admiring him the more for it, "	‫قالت لابنها، "لا يسع المرء سوى حبه ‫والإعجاب به أكثر لهذا."
she told her son, "when one realizes that he tried to"	‫"عندما يدرك المرء أنه حاول ‫تصحيح الخطأ".
When James Roosevelt, Franklin's father, had died in 1900, Sara moved to Boston to be closer to her son.	‫عندما توفي "جايمس روزفلت" ‫والد "فرانكلين" عام 1900، ‫انتقلت "سارة" إلى "بوسطن" ‫لتكون قريبة أكثر من ابنها.
She interested herself in every aspect of his life, exulted in his successes and overlooked his failures, just as she always had.	‫اهتمت بجميع زوايا حياته. ‫فرحت بنجاحاته وتجاهلت عيوبه ‫كما فعلت دائماً.
Successes did not come easily.	‫لم يأت النجاح بسهولة.
He was not an outstanding student or especially well-liked by his classmates.	‫فلم يكن طالباً متميزاً ولم يحبه ‫زملاؤه أيضاً
Many of them thought him an over-eager lightweight, just as his schoolmates at Groton had.	‫نظر إليه أغلبهم على أنه ‫ضعيف وكثير التوق ‫كما فعل زملاء دراسته في "غروتون".
He did become the editor of the "Crimson, " and scored a minor scoop when he learned his famous cousin was coming to Cambridge, but when he ran for class marshal he lost.	‫أصبح محرراً لصحيفة "كريمزون" ‫وحقق سبقاً صحفياً صغيراً عندما علم ‫أن ابن عمه الشهير قادم ‫إلى "كامبريدج"، ‫لكنه عندما ترشح ‫ليكون رئيس الصف خسر.
Still too slight for sports, he led cheers at a football game...	‫وكان ضعيفاً على ممارسة الرياضة ‫فقام بقيادة الهتافات في مباريات كرة القدم
Though he admitted it made him feel "like a damned fool"	‫رغم أنه اعترف أن هذا جعله يشعر
